,ipcc_code_2006_for_standard_report,Country_code_A3,Name,ipcc_code_2006_for_standard_report_name,Y_2010
0,1.A.1.a,ABW,Aruba,Main Activity Electricity and Heat Production,809.918026849
1,1.A.1.a,AFG,Afghanistan,Main Activity Electricity and Heat Production,2126.53851051
2,1.A.1.a,AGO,Angola,Main Activity Electricity and Heat Production,2369.112639
3,1.A.1.a,AIA,Anguilla,Main Activity Electricity and Heat Production,0.789682275
4,1.A.1.a,ALB,Albania,Main Activity Electricity and Heat Production,15.55479936
5,1.A.1.a,ANT,Netherlands Antilles,Main Activity Electricity and Heat Production,899.2177664
6,1.A.1.a,ARE,United Arab Emirates,Main Activity Electricity and Heat Production,58746.26805
7,1.A.1.a,ARG,Argentina,Main Activity Electricity and Heat Production,45214.799454
8,1.A.1.a,ARM,Armenia,Main Activity Electricity and Heat Production,632.7406576
9,1.A.1.a,ATG,Antigua and Barbuda,Main Activity Electricity and Heat Production,552.9098841
10,1.A.1.a,AUS,Australia,Main Activity Electricity and Heat Production,213204.133229
11,1.A.1.a,AUT,Austria,Main Activity Electricity and Heat Production,24389.642723
12,1.A.1.a,AZE,Azerbaijan,Main Activity Electricity and Heat Production,8358.841821
13,1.A.1.a,BDI,Burundi,Main Activity Electricity and Heat Production,205.06722044000003
14,1.A.1.a,BEL,Belgium,Main Activity Electricity and Heat Production,27328.632700000002
15,1.A.1.a,BEN,Benin,Main Activity Electricity and Heat Production,88.83055150999999
16,1.A.1.a,BFA,Burkina Faso,Main Activity Electricity and Heat Production,575.9051935
17,1.A.1.a,BGD,Bangladesh,Main Activity Electricity and Heat Production,24122.08285
18,1.A.1.a,BGR,Bulgaria,Main Activity Electricity and Heat Production,29782.42431644
19,1.A.1.a,BHR,Bahrain,Main Activity Electricity and Heat Production,17979.03465
20,1.A.1.a,BHS,Bahamas,Main Activity Electricity and Heat Production,1837.3094384199999
21,1.A.1.a,BIH,Bosnia and Herzegovina,Main Activity Electricity and Heat Production,13411.103739999999
22,1.A.1.a,BLR,Belarus,Main Activity Electricity and Heat Production,35588.266865000005
23,1.A.1.a,BLZ,Belize,Main Activity Electricity and Heat Production,574.02480113
24,1.A.1.a,BMU,Bermuda,Main Activity Electricity and Heat Production,591.2549808
25,1.A.1.a,BOL,Bolivia,Main Activity Electricity and Heat Production,3128.3483960000003
26,1.A.1.a,BRA,Brazil,Main Activity Electricity and Heat Production,70010.34568
27,1.A.1.a,BRB,Barbados,Main Activity Electricity and Heat Production,1114.891009305
28,1.A.1.a,BRN,Brunei Darussalam,Main Activity Electricity and Heat Production,2783.308128
29,1.A.1.a,BTN,Bhutan,Main Activity Electricity and Heat Production,196.07735993
30,1.A.1.a,BWA,Botswana,Main Activity Electricity and Heat Production,566.998221
31,1.A.1.a,CAF,Central African Republic,Main Activity Electricity and Heat Production,72.41190319
32,1.A.1.a,CAN,Canada,Main Activity Electricity and Heat Production,120248.03199799999
33,1.A.1.a,CHE,Switzerland,Main Activity Electricity and Heat Production,5166.414902
34,1.A.1.a,CHL,Chile,Main Activity Electricity and Heat Production,26633.2054
35,1.A.1.a,CHN,China,Main Activity Electricity and Heat Production,3515152.45764
36,1.A.1.a,CIV,Cote d'Ivoire,Main Activity Electricity and Heat Production,2910.372737
37,1.A.1.a,CMR,Cameroon,Main Activity Electricity and Heat Production,1289.2519009999999
38,1.A.1.a,COD,Congo_the Democratic Republic of the,Main Activity Electricity and Heat Production,52.56498933
39,1.A.1.a,COG,Congo,Main Activity Electricity and Heat Production,210.8093989
40,1.A.1.a,COK,Cook Islands,Main Activity Electricity and Heat Production,20.17227778
41,1.A.1.a,COL,Colombia,Main Activity Electricity and Heat Production,14240.83866
42,1.A.1.a,COM,Comoros,Main Activity Electricity and Heat Production,38.786547217
43,1.A.1.a,CPV,Cape Verde,Main Activity Electricity and Heat Production,171.79177540999999
44,1.A.1.a,CRI,Costa Rica,Main Activity Electricity and Heat Production,643.8791627
45,1.A.1.a,CUB,Cuba,Main Activity Electricity and Heat Production,14704.571179999999
46,1.A.1.a,CYM,Cayman Islands,Main Activity Electricity and Heat Production,513.0658758
47,1.A.1.a,CYP,Cyprus,Main Activity Electricity and Heat Production,3855.35734792
48,1.A.1.a,CZE,Czech Republic,Main Activity Electricity and Heat Production,64571.896122
49,1.A.1.a,DEU,Germany,Main Activity Electricity and Heat Production,367341.81662
50,1.A.1.a,DJI,Djibouti,Main Activity Electricity and Heat Production,188.137926445
51,1.A.1.a,DMA,Dominica,Main Activity Electricity and Heat Production,294.605487422
52,1.A.1.a,DNK,Denmark,Main Activity Electricity and Heat Production,30021.927203
53,1.A.1.a,DOM,Dominican Republic,Main Activity Electricity and Heat Production,8859.761360999999
54,1.A.1.a,DZA,Algeria,Main Activity Electricity and Heat Production,25093.22665
55,1.A.1.a,ECU,Ecuador,Main Activity Electricity and Heat Production,8244.975357
56,1.A.1.a,EGY,Egypt,Main Activity Electricity and Heat Production,62641.88194
57,1.A.1.a,ERI,Eritrea,Main Activity Electricity and Heat Production,267.290348
58,1.A.1.a,ESH,Western Sahara,Main Activity Electricity and Heat Production,48.980235891
59,1.A.1.a,ESP,Spain,Main Activity Electricity and Heat Production,75848.89730000001
60,1.A.1.a,EST,Estonia,Main Activity Electricity and Heat Production,16125.191184000001
61,1.A.1.a,ETH,Ethiopia,Main Activity Electricity and Heat Production,55.08461639
62,1.A.1.a,FIN,Finland,Main Activity Electricity and Heat Production,45377.47888
63,1.A.1.a,FJI,Fiji,Main Activity Electricity and Heat Production,396.419111052
64,1.A.1.a,FLK,Falkland Islands (Malvinas),Main Activity Electricity and Heat Production,223.949201204
65,1.A.1.a,FRA,France,Main Activity Electricity and Heat Production,65237.90958
66,1.A.1.a,GAB,Gabon,Main Activity Electricity and Heat Production,789.5074874
67,1.A.1.a,GBR,United Kingdom,Main Activity Electricity and Heat Production,187883.84889999998
68,1.A.1.a,GEO,Georgia,Main Activity Electricity and Heat Production,820.2154035
69,1.A.1.a,GHA,Ghana,Main Activity Electricity and Heat Production,3021.932149
70,1.A.1.a,GIB,Gibraltar,Main Activity Electricity and Heat Production,133.1280155
71,1.A.1.a,GIN,Guinea,Main Activity Electricity and Heat Production,719.2162506
72,1.A.1.a,GLP,Guadeloupe,Main Activity Electricity and Heat Production,1346.083430063
73,1.A.1.a,GMB,Gambia,Main Activity Electricity and Heat Production,108.97135249
74,1.A.1.a,GNB,Guinea-Bissau,Main Activity Electricity and Heat Production,108.63818458
75,1.A.1.a,GNQ,Equatorial Guinea,Main Activity Electricity and Heat Production,390.9207228
76,1.A.1.a,GRC,Greece,Main Activity Electricity and Heat Production,42144.6867755
