,ipcc_code_2006_for_standard_report,Country_code_A3,Name,ipcc_code_2006_for_standard_report_name,Y_1990
0,1.A.1.a,ABW,Aruba,Main Activity Electricity and Heat Production,212.774156864
1,1.A.1.a,AFG,Afghanistan,Main Activity Electricity and Heat Production,606.597648874
2,1.A.1.a,AGO,Angola,Main Activity Electricity and Heat Production,291.5997925
3,1.A.1.a,AIA,Anguilla,Main Activity Electricity and Heat Production,0.402216909
4,1.A.1.a,ALB,Albania,Main Activity Electricity and Heat Production,525.7486487
5,1.A.1.a,ANT,Netherlands Antilles,Main Activity Electricity and Heat Production,572.5122116
6,1.A.1.a,ARE,United Arab Emirates,Main Activity Electricity and Heat Production,12768.89442
7,1.A.1.a,ARG,Argentina,Main Activity Electricity and Heat Production,19259.18475
8,1.A.1.a,ARM,Armenia,Main Activity Electricity and Heat Production,6100.44379
9,1.A.1.a,ATG,Antigua and Barbuda,Main Activity Electricity and Heat Production,172.8042158
10,1.A.1.a,AUS,Australia,Main Activity Electricity and Heat Production,131782.7941
11,1.A.1.a,AUT,Austria,Main Activity Electricity and Heat Production,15287.60258
12,1.A.1.a,AZE,Azerbaijan,Main Activity Electricity and Heat Production,19827.00202
13,1.A.1.a,BDI,Burundi,Main Activity Electricity and Heat Production,97.63949964
14,1.A.1.a,BEL,Belgium,Main Activity Electricity and Heat Production,26435.7648547
15,1.A.1.a,BEN,Benin,Main Activity Electricity and Heat Production,25.47401847
16,1.A.1.a,BFA,Burkina Faso,Main Activity Electricity and Heat Production,156.49350324
17,1.A.1.a,BGD,Bangladesh,Main Activity Electricity and Heat Production,4313.919543
18,1.A.1.a,BGR,Bulgaria,Main Activity Electricity and Heat Production,44089.7328
19,1.A.1.a,BHR,Bahrain,Main Activity Electricity and Heat Production,6749.14982
20,1.A.1.a,BHS,Bahamas,Main Activity Electricity and Heat Production,1158.8883931999999
21,1.A.1.a,BIH,Bosnia and Herzegovina,Main Activity Electricity and Heat Production,10723.52755
22,1.A.1.a,BLR,Belarus,Main Activity Electricity and Heat Production,57450.17135
23,1.A.1.a,BLZ,Belize,Main Activity Electricity and Heat Production,188.45519933
24,1.A.1.a,BMU,Bermuda,Main Activity Electricity and Heat Production,266.7112812
25,1.A.1.a,BOL,Bolivia,Main Activity Electricity and Heat Production,850.3756334999999
26,1.A.1.a,BRA,Brazil,Main Activity Electricity and Heat Production,15875.24796
27,1.A.1.a,BRB,Barbados,Main Activity Electricity and Heat Production,513.584469522
28,1.A.1.a,BRN,Brunei Darussalam,Main Activity Electricity and Heat Production,1088.243342
29,1.A.1.a,BTN,Bhutan,Main Activity Electricity and Heat Production,28.69802594
30,1.A.1.a,BWA,Botswana,Main Activity Electricity and Heat Production,1523.211758
31,1.A.1.a,CAF,Central African Republic,Main Activity Electricity and Heat Production,63.98665955999999
32,1.A.1.a,CAN,Canada,Main Activity Electricity and Heat Production,101094.426511
33,1.A.1.a,CHE,Switzerland,Main Activity Electricity and Heat Production,3304.516914
34,1.A.1.a,CHL,Chile,Main Activity Electricity and Heat Production,8697.275556999999
35,1.A.1.a,CHN,China,Main Activity Electricity and Heat Production,639203.6507
36,1.A.1.a,CIV,Cote d'Ivoire,Main Activity Electricity and Heat Production,411.6741313
37,1.A.1.a,CMR,Cameroon,Main Activity Electricity and Heat Production,35.29373367
38,1.A.1.a,COD,Congo_the Democratic Republic of the,Main Activity Electricity and Heat Production,25.5712623
39,1.A.1.a,COG,Congo,Main Activity Electricity and Heat Production,3.20852259
40,1.A.1.a,COK,Cook Islands,Main Activity Electricity and Heat Production,13.3884969
41,1.A.1.a,COL,Colombia,Main Activity Electricity and Heat Production,8034.144742
42,1.A.1.a,COM,Comoros,Main Activity Electricity and Heat Production,10.426554480999998
43,1.A.1.a,CPV,Cape Verde,Main Activity Electricity and Heat Production,13.591253543999999
44,1.A.1.a,CRI,Costa Rica,Main Activity Electricity and Heat Production,70.10226147
45,1.A.1.a,CUB,Cuba,Main Activity Electricity and Heat Production,15093.203959999999
46,1.A.1.a,CYM,Cayman Islands,Main Activity Electricity and Heat Production,121.6703465
47,1.A.1.a,CYP,Cyprus,Main Activity Electricity and Heat Production,1688.641984
48,1.A.1.a,CZE,Czech Republic,Main Activity Electricity and Heat Production,64067.60535
49,1.A.1.a,DEU,Germany,Main Activity Electricity and Heat Production,384640.601953
50,1.A.1.a,DJI,Djibouti,Main Activity Electricity and Heat Production,234.874008524
51,1.A.1.a,DMA,Dominica,Main Activity Electricity and Heat Production,26.119390147
52,1.A.1.a,DNK,Denmark,Main Activity Electricity and Heat Production,26933.005752
53,1.A.1.a,DOM,Dominican Republic,Main Activity Electricity and Heat Production,3318.630408
54,1.A.1.a,DZA,Algeria,Main Activity Electricity and Heat Production,10224.99878
55,1.A.1.a,ECU,Ecuador,Main Activity Electricity and Heat Production,1201.704619
56,1.A.1.a,EGY,Egypt,Main Activity Electricity and Heat Production,22381.09284
57,1.A.1.a,ERI,Eritrea,Main Activity Electricity and Heat Production,99.29491477
58,1.A.1.a,ESH,Western Sahara,Main Activity Electricity and Heat Production,30.16660113
59,1.A.1.a,ESP,Spain,Main Activity Electricity and Heat Production,66348.13988999999
60,1.A.1.a,EST,Estonia,Main Activity Electricity and Heat Production,26409.08071
61,1.A.1.a,ETH,Ethiopia,Main Activity Electricity and Heat Production,65.31649981
62,1.A.1.a,FIN,Finland,Main Activity Electricity and Heat Production,22487.97814
63,1.A.1.a,FJI,Fiji,Main Activity Electricity and Heat Production,303.51854093599997
64,1.A.1.a,FLK,Falkland Islands (Malvinas),Main Activity Electricity and Heat Production,6.410379202
65,1.A.1.a,FRA,France,Main Activity Electricity and Heat Production,50206.101434
66,1.A.1.a,GAB,Gabon,Main Activity Electricity and Heat Production,274.884432
67,1.A.1.a,GBR,United Kingdom,Main Activity Electricity and Heat Production,220005.96550000002
68,1.A.1.a,GEO,Georgia,Main Activity Electricity and Heat Production,17113.26469
69,1.A.1.a,GIB,Gibraltar,Main Activity Electricity and Heat Production,58.8240387
70,1.A.1.a,GIN,Guinea,Main Activity Electricity and Heat Production,291.6872313
71,1.A.1.a,GLP,Guadeloupe,Main Activity Electricity and Heat Production,593.81825926
72,1.A.1.a,GMB,Gambia,Main Activity Electricity and Heat Production,32.937152171
73,1.A.1.a,GNB,Guinea-Bissau,Main Activity Electricity and Heat Production,56.78005348
74,1.A.1.a,GNQ,Equatorial Guinea,Main Activity Electricity and Heat Production,19.25112813
75,1.A.1.a,GRC,Greece,Main Activity Electricity and Heat Production,34971.90914
76,1.A.1.a,GRD,Grenada,Main Activity Electricity and Heat Production,53.46469814
77,1.A.1.a,GTM,Guatemala,Main Activity Electricity and Heat Production,733.4322738999999
78,1.A.1.a,GUF,French Guiana,Main Activity Electricity and Heat Production,292.54724194
79,1.A.1.a,GUY,Guyana,Main Activity Electricity and Heat Production,544.1650636
80,1.A.1.a,HKG,Hong Kong,Main Activity Electricity and Heat Production,25294.36923
81,1.A.1.a,HND,Honduras,Main Activity Electricity and Heat Production,22.45965072
82,1.A.1.a,HRV,Croatia,Main Activity Electricity and Heat Production,4409.563931000001
83,1.A.1.a,HTI,Haiti,Main Activity Electricity and Heat Production,284.3922071
84,1.A.1.a,HUN,Hungary,Main Activity Electricity and Heat Production,20896.27201
85,1.A.1.a,IDN,Indonesia,Main Activity Electricity and Heat Production,22492.80394
86,1.A.1.a,IND,India,Main Activity Electricity and Heat Production,215751.155
87,1.A.1.a,IRL,Ireland,Main Activity Electricity and Heat Production,10675.13987
88,1.A.1.a,IRN,Iran. Islamic Republic of,Main Activity Electricity and Heat Production,35915.76751
89,1.A.1.a,IRQ,Iraq,Main Activity Electricity and Heat Production,13799.30305
90,1.A.1.a,ISL,Iceland,Main Activity Electricity and Heat Production,3.15671187
91,1.A.1.a,ISR,Israel,Main Activity Electricity and Heat Production,17555.0054
92,1.A.1.a,ITA,Italy,Main Activity Electricity and Heat Production,124039.1602692
93,1.A.1.a,JAM,Jamaica,Main Activity Electricity and Heat Production,1988.189916
94,1.A.1.a,JOR,Jordan,Main Activity Electricity and Heat Production,2995.984218
95,1.A.1.a,JPN,Japan,Main Activity Electricity and Heat Production,397112.19659
96,1.A.1.a,KAZ,Kazakhstan,Main Activity Electricity and Heat Production,109681.4884
97,1.A.1.a,KEN,Kenya,Main Activity Electricity and Heat Production,407.4666979
