,nx_bipartite_deg_centr
2.D,0.9714285714285715
1.A.1.bc,0.5666666666666668
1.B.2,0.680952380952381
2.A.4,0.6857142857142857
1.A.1.a,0.980952380952381
3.C.3,0.4904761904761905
1.A.4,0.9857142857142858
2.B,0.42380952380952386
2.A.3,0.9857142857142858
5.B,0.01904761904761905
3.C.2,0.44761904761904764
1.B.1,0.4
1.A.3.d,0.6857142857142857
2.A.2,0.4428571428571429
1.A.3.a,0.8523809523809525
2.A.1,0.761904761904762
1.A.2,0.980952380952381
1.A.5,0.6952380952380953
3.C.1,0.8904761904761905
4.C,0.5
1.A.3.e,0.46190476190476193
2.C,0.5095238095238096
1.A.3.b_noRES,0.9857142857142858
1.A.3.c,0.48571428571428577
