,nx_bipartite_close_centr
3.C.1,0.8590604026845637
1.B.2,0.7950310559006211
1.A.1.a,0.9552238805970149
2.A.3,0.9846153846153847
1.A.2,0.9142857142857143
1.A.3.e,0.40894568690095845
3.C.3,0.6564102564102564
2.D,0.9624060150375939
2.A.4,0.5311203319502075
1.A.4,0.9411764705882353
3.C.2,0.5355648535564853
1.A.3.d,0.49612403100775193
1.A.3.c,0.47232472324723246
4.C,0.5446808510638298
1.B.1,0.4980544747081712
2.A.1,0.6564102564102564
1.A.5,0.6666666666666666
5.B,0.38323353293413176
2.C,0.49612403100775193
1.A.3.a,0.579185520361991
2.B,0.5
1.A.1.bc,0.6213592233009708
2.A.2,0.5493562231759657
1.A.3.b_noRES,0.9552238805970149
