,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_birank
0,1.A.1.a,0.048330501362682424
1,1.A.1.bc,0.02100854165418927
2,1.A.2,0.037752738159533644
3,1.A.3.a,0.019681411089151474
4,1.A.3.b_noRES,0.034652923307652524
5,1.A.3.c,0.00981751129127701
6,1.A.3.d,0.020848826868023765
7,1.A.3.e,0.010958079507115935
8,1.A.4,0.03485666001115511
9,1.A.5,0.011326845315429112
10,1.B.1,0.013851907310763899
11,1.B.2,0.015103773766260545
12,2.A.1,0.01985188328366744
13,2.A.2,0.012343535663001611
14,2.A.3,0.007309812484546035
15,2.A.4,0.010160588985709177
16,2.B,0.01573204699353675
17,2.C,0.012914442154040015
18,2.D,0.011349104627353997
19,3.C.1,0.018444151587667997
20,3.C.2,0.009141058685915665
21,3.C.3,0.00941442501006047
22,4.C,0.007992383828160528
23,5.B,0.008532780577727198
