node,nx_eig_centr
ABW,7.397364556396915e-05
1.A.1.a,0.6096335232344698
1.A.2,0.30277429060653505
1.A.4,0.08328891787754542
1.A.5,0.0070459337180488815
1.A.3.a,0.014631099049043765
1.A.3.b_noRES,0.13313135172037546
1.A.3.d,0.008630488085939372
1.A.3.e,0.003405139248342698
2.A.3,0.00021536210517078053
2.A.4,0.004190381374736344
2.D,0.004825561981884221
AFG,0.00039462942453499734
3.C.1,0.007224897321344966
1.A.1.bc,0.04580823732893672
1.B.1,0.03273322158238148
1.B.2,0.0029293685302443336
2.A.1,0.0819682994966572
2.B,0.023868396383379963
3.C.3,0.0020285507735002596
AGO,0.0007214784189476667
2.A.2,0.023263540928705216
AIA,6.527719864545953e-07
AIR,0.0013522472445571087
ALB,0.00010289343942398497
1.A.3.c,0.0025613512183113715
2.C,0.02327069107433798
3.C.2,0.00047713804765615663
4.C,0.00037868600839756865
ANT,9.113892000754296e-05
ARE,0.01035324425359873
ARG,0.006144900556741944
ARM,0.00020819301165143943
ATG,4.509723474502508e-05
AUS,0.02052051482557879
5.B,0.003178705095880459
AUT,0.0023373211208082487
AZE,0.0015283901065531343
BDI,2.52618848450659e-05
BEL,0.003219471918405518
BEN,0.00018409949129867895
BFA,0.00016266882121656449
BGD,0.0052202744058364335
BGR,0.0023857871215164756
BHR,0.0023164965230067177
BHS,0.00023472494436208716
BIH,0.0014128476435448661
BLR,0.0032094974229831146
BLZ,3.579165643580523e-05
BMU,4.748884122595119e-05
BOL,0.0006919891493100224
BRA,0.014531843894203615
BRB,9.913299972634838e-05
BRN,0.00036542006332675365
BTN,4.9793600120975445e-05
BWA,0.00044933936753371086
CAF,9.940872252879488e-06
CAN,0.0162385133492893
CHE,0.0009441579342219253
CHL,0.004715817803145977
CHN,0.6413113233651041
CIV,0.000499675356809454
CMR,0.0003119783353985026
COD,5.1196509593858e-05
COG,0.0002299882488423286
COK,4.181241325919183e-06
COL,0.002845811253290063
COM,1.0975838861263632e-05
CPV,3.169232397035628e-05
CRI,0.0001811667124734346
CUB,0.001553317892893164
CYM,4.996847389111766e-05
CYP,0.00037869138124546864
CZE,0.005484194472452854
DEU,0.031167895591259643
DJI,2.178829969363126e-05
DMA,1.098861131457209e-05
DNK,0.0010695715645173075
DOM,0.0014130643891195496
DZA,0.005664862591067643
ECU,0.0010013485314645913
EGY,0.012356525211533707
ERI,4.613818402326591e-05
ESH,8.201948179997584e-06
ESP,0.008654083387614458
EST,0.0006552605355941886
ETH,0.00046242340836506344
FIN,0.0019811854988036116
FJI,6.452122879059438e-05
FLK,2.8384933019762785e-06
FRA,0.008652604337423236
FRO,1.1618071695810299e-10
GAB,0.00015485060699090727
GBR,0.011634471478607198
GEO,0.0003142010169715821
GHA,0.0008506604091119272
GIB,2.4620450252908912e-05
GIN,0.00010714701821075823
GLP,0.00010790844661582409
GMB,1.9142776725813734e-05
GNB,1.1148005633727938e-05
GNQ,0.0002192744711098032
GRC,0.0028663613399247177
GRD,1.9916529757208963e-05
GRL,1.3808945421701579e-05
GTM,0.0008073738986605644
GUF,4.633165035083811e-05
GUY,0.00013249028285868946
HKG,0.003062371501661367
HND,0.0004697961156976945
HRV,0.0005507804989360438
HTI,0.00014231865969671954
HUN,0.0017668311806190102
IDN,0.030988108895569237
IND,0.14291672643254022
IRL,0.0013660655710783331
IRN,0.02424535393942495
IRQ,0.0077646338729124974
ISL,3.453484061967446e-05
ISR,0.0037777924306366347
ITA,0.01318737577391067
JAM,0.0004249326738907287
JOR,0.0010994841256970788
JPN,0.060556626105748065
KAZ,0.011856338627418885
KEN,0.0007086859068474158
KGZ,0.0003311170570409102
KHM,0.0006394926171548881
KIR,2.8589049777167064e-06
KNA,1.6589616161353036e-05
KOR,0.03529677785204339
KWT,0.00515070120974994
LAO,0.0013911906961886888
LBN,0.001656277164819173
LBR,4.6632523601011774e-05
LBY,0.0025350607646333597
LCA,4.135838965310756e-05
LKA,0.001169235668938293
LSO,2.518441215388365e-05
LTU,0.0002943252520156099
LUX,0.00021533401006697004
LVA,0.0002836720908771065
MAC,9.990937204192961e-05
MAR,0.003534453631778077
MDA,0.00042685776791274316
MDG,0.00021868045675617126
MDV,8.443357278217924e-05
MEX,0.018844391072016332
MKD,0.000496188361287271
MLI,0.00019160074103791936
MLT,8.586021080281395e-05
MMR,0.0016922967296100764
MNG,0.001420492423274192
MOZ,0.0002766643000387949
MRT,0.00013832819211338958
MTQ,0.000117436632035514
MUS,0.0002616671925311872
MWI,7.039810805714355e-05
MYS,0.013833292460526203
NAM,7.740100919004137e-05
NCL,0.00027229216202862304
NER,9.171917925181167e-05
NGA,0.002869623231553928
NIC,0.00020688435726563326
NLD,0.0068081945766940615
NOR,0.0007809178094359011
NPL,0.0003101164451092001
NZL,0.0011901330586109667
OMN,0.0026041757657038617
PAK,0.008170413488223106
PAN,0.0006425099370643437
PER,0.002036123007267355
PHL,0.008159233382255038
PLW,5.437762630905148e-05
PNG,0.0002483814860480377
POL,0.01597709622685057
PRI,1.552033208719172e-05
PRK,0.0019755000457191375
PRT,0.0019027780810250937
PRY,0.00017369911815266406
PYF,3.701785396265135e-05
QAT,0.0035832567353966133
REU,9.60942874500106e-05
ROU,0.0034111296969353494
RUS,0.09433304536307201
RWA,4.311743510358945e-05
SAU,0.02912764721792208
SCG,0.003917944139292871
SDN,0.0008545243191478549
SEA,0.0008842674756688052
SEN,0.0005043459220859226
SGP,0.00274978266094658
SHN,7.132621504583224e-07
SLB,1.2295113407832463e-05
SLE,3.180840014716848e-05
SLV,0.0002715393018589505
SOM,2.8948022933015738e-05
SPM,5.565330161882419e-06
STP,5.8240019365539975e-06
SUR,0.00011895764215376267
SVK,0.0011144964876527413
SVN,0.0006330124691316941
SWE,0.0014282746414707643
SWZ,6.66294475628188e-05
SYC,3.651514294749856e-05
SYR,0.0013384435757734167
TCA,1.4404764220239933e-05
TCD,6.487828813561014e-05
TGO,5.5067136884727084e-05
THA,0.012453503094993459
TJK,0.0003226148931225976
TKM,0.0024476784524952665
TLS,1.9842467639166757e-05
TON,6.463932671029411e-06
TTO,0.0007188689678467523
TUN,0.0013114983988169854
TUR,0.01836446498537242
TWN,0.017050988206372162
TZA,0.0005232722550850931
UGA,0.00021940147595738666
UKR,0.009845476688805855
URY,0.000151910345136308
USA,0.21448089626389166
UZB,0.004995169517691142
VCT,1.3442285212971524e-05
VEN,0.0036939695073100304
VGB,1.0525468960735908e-05
VNM,0.018824162483986745
VUT,8.444599126183099e-06
WSM,1.3766856869656853e-05
YEM,0.00039421483017936795
ZAF,0.025205371305335025
ZMB,0.00031725238257156456
ZWE,0.0006952841707921667
