,lapl_centr
CYM,2.9772203464068756e-06
BEN,0.00017188233267188225
MRT,8.194120141382069e-05
ERI,0.00012524734197031363
RWA,0.00036831362293040707
UGA,0.0016154382170400692
GIN,0.0007575420680198907
VUT,2.3752279656707347e-06
MLI,0.00024728006207077496
VGB,1.31777852016905e-06
ESH,3.5703193207711106e-06
CAF,0.00016254400390106925
MDV,5.347975286195372e-07
TGO,0.00015283934456060397
SWZ,0.0003199103133207061
SHN,1.6260701809537412e-07
BDI,0.00034126292203015123
SEN,0.0002652604170336727
SPM,4.711010711487316e-06
PAN,0.00029463663294155635
HND,0.0005797783010470722
SOM,0.0003614308682132457
BTN,8.833585046202269e-05
AIA,8.720646256168564e-08
SYC,5.7464410234613e-06
GRL,8.696398778715229e-09
SGP,0.0002854248054680672
KHM,0.00047092907940643735
GMB,2.6592378763008058e-05
WSM,5.129611318601437e-06
NPL,0.0014155828147224025
GUY,0.00040241506115689274
GLP,7.43079957951506e-05
NER,0.00023228917675247062
AIR,0.0015023402416500253
BMU,1.583241718826813e-05
REU,0.00018767981727305978
GRD,1.7481838181054717e-06
COM,6.814969985627768e-06
SLB,3.717659558066166e-06
TON,5.345521414934701e-07
MWI,0.0005292208888125455
MNG,0.00043503055268841965
DJI,3.9828288783400885e-05
PRI,5.26427454318032e-05
AFG,6.340533647294738e-05
TZA,0.001298439372202886
MOZ,0.0018672015816839685
KNA,2.3960914944239412e-05
CMR,0.0008658856016546249
ATG,1.1736648910609506e-05
NAM,7.34644093421318e-05
PYF,3.3267107988470684e-06
TLS,6.767686978804947e-06
GUF,2.4707575516847123e-05
TCA,5.967180284075335e-07
SUR,0.00011412820358068016
NCL,3.104529482491957e-05
FRO,3.006874452336733e-10
VCT,1.0812667910636704e-05
LBR,0.00018002832386371795
JAM,0.0008192162030577745
KWT,0.0007440930846705861
GIB,3.370402575785091e-06
LAO,0.00017886796770919314
AGO,0.0009594362308031333
LSO,0.0001934303230182775
SYR,0.0003543229276156416
OMN,4.540539263478272e-05
STP,5.150493459370032e-06
IRQ,0.0007154499756821459
BHS,0.00014030872657078906
BOL,0.00039283528202329563
GNB,7.972631579599138e-05
SLE,0.00046929694212103436
COK,4.4067344473396134e-07
PNG,0.0001716411427604621
BHR,9.051780390758971e-05
COG,0.00011944465260572158
LCA,9.504941456449536e-06
DMA,9.767334385317954e-06
CIV,0.0005009669677786109
GAB,0.00022493374338585854
LKA,0.001050018246841526
KIR,5.032631530137396e-07
SAU,0.0007044305641878283
BRN,3.518452136170013e-05
MTQ,3.909376371190158e-05
MLT,3.841379213835175e-05
QAT,0.00023074794410012786
FLK,9.395852968895036e-07
PLW,7.663574264936002e-05
ARE,0.0002851182304397736
MAC,8.500333665774543e-06
GNQ,6.283365144573701e-06
BLZ,0.00010220693133898926
MDG,0.00037702243238168316
YEM,5.560689216551651e-05
BRB,9.550220858230271e-05
ANT,0.000608049792477032
BWA,5.921756170762979e-05
TCD,0.000306913380672297
FJI,0.00034870474257718
CPV,1.4878867984366128e-05
ABW,4.032294582726801e-06
BFA,0.0006152145573839293
