,Country_code_A3,Country_code_A3_birank
0,ABW,3.6710271806832007e-06
1,AFG,4.592087502662075e-05
2,AGO,0.0007369620956002701
3,AIA,9.878168394496906e-08
4,ALB,0.0002858334460076694
5,ANT,0.0005721540014502432
6,ARE,0.00018755972798108748
7,ARG,0.005743192693407295
8,ARM,0.0006720009033984413
9,ATG,1.0935789412139955e-05
10,AUS,0.011291065660550598
11,AUT,0.003107081987248094
12,AZE,0.0021096616840602708
13,BDI,0.0002661501867552312
14,BEL,0.00801947398387325
15,BFA,0.00048032269318771343
16,BGD,0.0026694182537902607
17,BGR,0.0028157176120378108
18,BHR,8.956430424331701e-05
19,BHS,0.00012861404802600053
20,BIH,0.0008968565957915757
21,BLR,0.0036405256829068425
22,BLZ,8.792708358246732e-05
23,BMU,1.4804852643194699e-05
24,BOL,0.0003402086590875692
25,BRA,0.018582945649093987
26,BRB,8.332338544502212e-05
27,BRN,2.6757185013576137e-05
28,BTN,6.837504514546391e-05
29,BWA,4.6198820296241523e-05
30,CAF,0.00012633621953977127
31,CAN,0.021550709218422212
32,CHE,0.001342228390826006
33,CHL,0.0014631246110513305
34,CHN,0.0949395238807808
35,CIV,0.0004079968517247306
36,CMR,0.0006842338705513212
37,COD,0.0016212176132097932
38,COG,9.543891278201732e-05
39,COK,4.3309320266476346e-07
40,COL,0.0036205568763619375
41,COM,5.352480887243016e-06
42,CPV,1.2345138088270839e-05
43,CRI,0.0002878866875950539
44,CUB,0.006350990990881778
45,CYM,2.769507321052688e-06
46,CYP,0.00010282532668177823
47,CZE,0.010284339717161441
48,DEU,0.06066326170213398
49,DJI,3.464093737012179e-05
50,DMA,8.438322205146083e-06
51,DNK,0.003771032218358085
52,DOM,0.0009222201385738853
53,DZA,0.0004228831562819497
54,ECU,0.0007220335467631823
55,EGY,0.0019435373047284588
56,ERI,9.886362414020496e-05
57,ESH,3.1319259586239685e-06
58,ESP,0.0076627492965945085
59,EST,0.0012856338344769446
60,ETH,0.0025584326167909116
61,FIN,0.0031634747049031874
62,FJI,0.0003021819126444756
63,FLK,8.204549659991252e-07
64,FRA,0.028330072440421104
65,GAB,0.00018280416930985624
66,GBR,0.03772834984883285
67,GEO,0.0014494710578515095
68,GHA,0.000562119093023261
69,GIB,3.578500920578938e-06
70,GIN,0.0005914950579541631
71,GLP,6.364953741650855e-05
72,GMB,2.09058286524585e-05
73,GNB,6.212743582180009e-05
74,GNQ,5.1550009405349795e-06
75,GRC,0.0015850310999641702
76,GRD,1.5727891500062513e-06
77,GTM,0.001306142890657246
78,GUF,2.2005327127814752e-05
79,GUY,0.0003493537388099053
80,HKG,0.0005819382394144495
81,HND,0.00047860604360160303
82,HRV,0.0009747937466804124
83,HTI,0.0004721027052990562
84,HUN,0.0036951788481117505
85,IDN,0.009878889079950541
86,IND,0.04124593599904151
87,IRL,0.0012339813125916697
88,IRN,0.0023040580158204082
89,IRQ,0.0006065980592188781
90,ISL,7.751342019007105e-05
91,ISR,0.0007159281358059258
92,ITA,0.01651865022197982
93,JAM,0.0007265304248839312
94,JOR,7.118659571430713e-05
95,JPN,0.04642616956941509
96,KAZ,0.008933708763493094
97,KEN,0.0012413305350152568
98,KGZ,0.0007667040026401505
99,KHM,0.00031597041786554354
100,KIR,4.772595405537451e-07
101,KNA,2.055682935112535e-05
102,KOR,0.0031329513823199185
103,KWT,0.000590049413647178
104,LAO,0.00012763388923854217
105,LBN,0.0002878050374676631
106,LBR,0.00014403418386956543
107,LBY,0.0002376728921391981
108,LCA,8.399700375365272e-06
109,LKA,0.0008505256920435619
110,LSO,0.00014960006040221294
111,LTU,0.0012874549890489716
112,LUX,0.0012580140133558841
113,LVA,0.001075063026657491
114,MAC,8.181232214007814e-06
115,MAR,0.0006425281039022386
116,MDA,0.0006114317452000386
117,MDG,0.0002983893228127789
118,MDV,4.588709229449882e-07
119,MEX,0.006381622444658322
120,MKD,0.0002717182283108082
121,MLI,0.0001919404556267237
122,MLT,3.748948245088094e-05
123,MMR,0.0018880427460440748
124,MNG,0.0003755648858430065
125,MOZ,0.0014889846060142716
