,ipcc_code_2006_for_standard_report,Country_code_A3,Name,ipcc_code_2006_for_standard_report_name,Y_2019
0,1.A.1.a,ABW,Aruba,Main Activity Electricity and Heat Production,647.687186508
1,1.A.1.a,AFG,Afghanistan,Main Activity Electricity and Heat Production,2456.4978578699997
2,1.A.1.a,AGO,Angola,Main Activity Electricity and Heat Production,4612.129507
3,1.A.1.a,AIA,Anguilla,Main Activity Electricity and Heat Production,1.032937933
4,1.A.1.a,ANT,Netherlands Antilles,Main Activity Electricity and Heat Production,544.250969
5,1.A.1.a,ARE,United Arab Emirates,Main Activity Electricity and Heat Production,69861.14264
6,1.A.1.a,ARG,Argentina,Main Activity Electricity and Heat Production,43246.424510000004
7,1.A.1.a,ARM,Armenia,Main Activity Electricity and Heat Production,1353.361006
8,1.A.1.a,ATG,Antigua and Barbuda,Main Activity Electricity and Heat Production,392.784213422
9,1.A.1.a,AUS,Australia,Main Activity Electricity and Heat Production,184451.105158
10,1.A.1.a,AUT,Austria,Main Activity Electricity and Heat Production,20827.906562
11,1.A.1.a,AZE,Azerbaijan,Main Activity Electricity and Heat Production,12509.171429999999
12,1.A.1.a,BDI,Burundi,Main Activity Electricity and Heat Production,166.64159561
13,1.A.1.a,BEL,Belgium,Main Activity Electricity and Heat Production,21342.482729000003
14,1.A.1.a,BEN,Benin,Main Activity Electricity and Heat Production,272.6784707
15,1.A.1.a,BFA,Burkina Faso,Main Activity Electricity and Heat Production,885.11666797
16,1.A.1.a,BGD,Bangladesh,Main Activity Electricity and Heat Production,39337.4557
17,1.A.1.a,BGR,Bulgaria,Main Activity Electricity and Heat Production,23483.689648
18,1.A.1.a,BHR,Bahrain,Main Activity Electricity and Heat Production,23012.82971
19,1.A.1.a,BHS,Bahamas,Main Activity Electricity and Heat Production,2091.0876827
20,1.A.1.a,BIH,Bosnia and Herzegovina,Main Activity Electricity and Heat Production,13407.349096400001
21,1.A.1.a,BLR,Belarus,Main Activity Electricity and Heat Production,33008.366366
22,1.A.1.a,BLZ,Belize,Main Activity Electricity and Heat Production,479.5231413
23,1.A.1.a,BMU,Bermuda,Main Activity Electricity and Heat Production,413.652023763
24,1.A.1.a,BOL,Bolivia,Main Activity Electricity and Heat Production,4132.09693
25,1.A.1.a,BRA,Brazil,Main Activity Electricity and Heat Production,105259.58922
26,1.A.1.a,BRB,Barbados,Main Activity Electricity and Heat Production,863.4990837439999
27,1.A.1.a,BRN,Brunei Darussalam,Main Activity Electricity and Heat Production,3380.73078
28,1.A.1.a,BTN,Bhutan,Main Activity Electricity and Heat Production,388.66485869999997
29,1.A.1.a,BWA,Botswana,Main Activity Electricity and Heat Production,4075.836481
30,1.A.1.a,CAF,Central African Republic,Main Activity Electricity and Heat Production,64.37613604
31,1.A.1.a,CAN,Canada,Main Activity Electricity and Heat Production,95383.9926
32,1.A.1.a,CHE,Switzerland,Main Activity Electricity and Heat Production,5929.994271
33,1.A.1.a,CHL,Chile,Main Activity Electricity and Heat Production,55650.46843
34,1.A.1.a,CHN,China,Main Activity Electricity and Heat Production,5399910.4802
