,Country,pagerank
0,ABW,0.0007177300702254565
1,AFG,0.0007759323500280555
2,AGO,0.0015558079707871874
3,AIA,0.000714357894190161
4,ALB,0.0009942632811778063
5,ANT,0.0012060545923650717
6,ARE,0.001035060968928588
7,ARG,0.005892826680044998
8,ARM,0.0013407651909380473
9,ATG,0.0007244381304447904
10,AUS,0.01074454321077104
11,AUT,0.003628869327802333
12,AZE,0.0026444585969792552
13,BDI,0.0009983828455214902
14,BEL,0.008181630049646574
15,BFA,0.0012262252680392165
16,BGD,0.0034752768093649048
17,BGR,0.0033372003117393347
18,BHR,0.0007876712693422283
19,BHS,0.000833994398740485
20,BIH,0.0015335887128345377
21,BLR,0.004005702849458853
22,BLZ,0.0007974093238929813
23,BMU,0.0007279558087674662
24,BOL,0.0010414446863482854
25,BRA,0.018495723159549598
26,BRB,0.0007934689230606258
27,BRN,0.0007529670030268591
28,BTN,0.0007880372422502535
29,BWA,0.0007639830055368035
30,CAF,0.0008501301039709682
31,CAN,0.02043348235602557
32,CHE,0.0020207641943811466
33,CHL,0.0021046842209680684
34,CHN,0.08428775978771698
35,CIV,0.0011309490269700924
36,CMR,0.0014332472314677646
37,COD,0.002391175220657811
38,COG,0.0008214681282845589
39,COK,0.0007147071779564634
40,COL,0.0042102436285894355
41,COM,0.0007200434017185597
42,CPV,0.0007269817853349272
43,CRI,0.0009862513708552797
44,CUB,0.00666412398792167
45,CYM,0.0007168751247566311
46,CYP,0.0008011877250303432
47,CZE,0.010296689759899877
48,DEU,0.053450569765109555
49,DJI,0.0007488073845255256
50,DMA,0.0007222567744261711
51,DNK,0.004267239845308845
52,DOM,0.0015784749344820766
53,DZA,0.0011807996437455262
54,ECU,0.001432060960834728
55,EGY,0.0025745949411334376
56,ERI,0.0008191498417841359
57,ESH,0.0007173991834796356
58,ESP,0.007741242040162416
59,EST,0.0018302490600105724
60,ETH,0.00344583219044595
61,FIN,0.0037730319262275496
62,FJI,0.0009976111712046666
63,FLK,0.0007150917221460827
64,FRA,0.026664300863595274
65,GAB,0.0008999910071592318
66,GBR,0.03364632295517038
67,GEO,0.0020832601730932146
68,GHA,0.0012964883093017018
69,GIB,0.0007170209751917938
70,GIN,0.0013443915078708553
71,GLP,0.0007757571436705098
72,GMB,0.0007367167789978183
73,GNB,0.0007808982009946376
74,GNQ,0.0007195306741576659
75,GRC,0.002180781916444143
76,GRD,0.0007158025290805428
77,GTM,0.0019914666271962336
78,GUF,0.0007348590453115652
79,GUY,0.0010399727774789906
80,HKG,0.0012299747485264288
81,HND,0.0011914412044832048
82,HRV,0.0016407175987567131
83,HTI,0.0012051473191718664
84,HUN,0.004140013194387497
85,IDN,0.010975111351013641
86,IND,0.03990413611129783
87,IRL,0.001854811076505512
88,IRN,0.003196912350339213
89,IRQ,0.0013693427882925605
90,ISL,0.0007927612727166486
91,ISR,0.001317545184931455
92,ITA,0.01574470000042742
93,JAM,0.0013758014863920242
94,JOR,0.0007895858005137358
95,JPN,0.040543055272952905
96,KAZ,0.008801101302269536
97,KEN,0.0019700052128959937
98,KGZ,0.0014303542968389467
99,KHM,0.0011244281173111745
100,KIR,0.0007147627787699397
101,KNA,0.0007338407708591435
102,KOR,0.003748467271024287
103,KWT,0.0014611872377529077
104,LAO,0.0008697828101642282
105,LBN,0.0009794285790394796
106,LBR,0.0008664896925173515
107,LBY,0.001208361101772253
108,LCA,0.0007221880423334564
109,LKA,0.0015866442858911548
110,LSO,0.0008761471468238899
111,LTU,0.0019356514811106887
112,LUX,0.0018653688288881643
113,LVA,0.0017413749385332762
114,MAC,0.0007222284016408674
115,MAR,0.0013293206151395818
116,MDA,0.001308065956096656
117,MDG,0.0010297789794124121
118,MDV,0.0007147685796915087
119,MEX,0.00677674146963056
120,MKD,0.0009624458323342376
121,MLI,0.0009215016282032998
122,MLT,0.0007454587725327106
123,MMR,0.00275593706042425
124,MNG,0.0010697901556672722
125,MOZ,0.002252401796940906
126,MRT,0.0007832787947939589
127,MTQ,0.0007471197402895487
128,MUS,0.0011070612406905752
129,MWI,0.0011512476799800857
130,MYS,0.0017600665757678715
131,NAM,0.0007773428210416564
132,NCL,0.0007425002150471525
133,NER,0.0009091684229295322
134,NGA,0.009584008422147527
135,NIC,0.0010767561755267606
136,NLD,0.007145995226056791
137,NOR,0.0018770895371223255
138,NPL,0.0018891314274881842
139,NZL,0.0014171650873208712
140,OMN,0.0007850114195885768
141,PAK,0.006034331949253404
142,PAN,0.0009555819161951379
143,PER,0.0026042339668801975
144,PHL,0.0037950964731448436
145,PLW,0.0007803517402892779
146,PNG,0.0008602038833944545
147,POL,0.015968896803233153
148,PRK,0.004715693292260109
149,PRT,0.0018674127037507596
150,PRY,0.0011204350246870848
151,PYF,0.0007174542370294418
152,QAT,0.0009693156193754297
153,REU,0.0008667649924173391
154,ROU,0.007135129375646889
155,RUS,0.06703405091526622
156,RWA,0.0010210381084998223
157,SAU,0.0014511953886569362
158,SCG,0.0022062328822823473
159,SDN,0.001991231353632684
160,SEN,0.0009343166711398975
161,SGP,0.0009459007781270485
162,SHN,0.0007144185565765001
163,SLB,0.0007175872490142068
164,SLE,0.001106045012968369
165,SLV,0.0012657253124913803
166,SOM,0.0010159073359245336
167,SPM,0.0007183444664401213
168,STP,0.0007186109927978553
169,SUR,0.0008099658229293356
170,SVK,0.0027745101191490908
171,SVN,0.0010674175520815374
172,SWE,0.007074358334755061
173,SWZ,0.0009740171033684353
174,SYC,0.0007192760421534791
175,SYR,0.0010072714566055525
176,TCA,0.0007148154702986196
177,TCD,0.0009700455536800481
178,TGO,0.0008419506485168064
179,THA,0.0030761861715327193
180,TJK,0.000810296817168912
181,TKM,0.0011662860547140773
182,TLS,0.0007200477502450249
183,TON,0.0007147890546414977
184,TTO,0.0008550637157949091
185,TUN,0.0010076607022959372
186,TUR,0.004426533359317178
187,TWN,0.0024468840935186445
188,TZA,0.0017900980272904706
189,UGA,0.002051889675548469
190,UKR,0.023001247041505926
191,URY,0.0011042179493344982
192,USA,0.17965234459014157
193,UZB,0.0021584910037332435
194,VCT,0.0007231324844328542
195,VEN,0.0028652323699654694
196,VGB,0.0007154241790552711
197,VNM,0.0037334786253155556
198,VUT,0.0007164989846816108
199,WSM,0.0007187025025831435
200,YEM,0.0007622416734078336
201,ZAF,0.012130108846543195
202,ZMB,0.0013941029859136662
203,ZWE,0.0023035587379004827
204,BEN,0.0008682288013927212
205,AIR,0.0011577395356964458
206,PRI,0.0007600514786548081
207,SEA,0.0011592099119572472
208,FRO,0.0007142862750645951
209,GRL,0.0007143017726777355
