,ipcc_code_2006_for_standard_report,Country_code_A3,Name,ipcc_code_2006_for_standard_report_name,Y_1980
0,1.A.1.a,ABW,Aruba,Main Activity Electricity and Heat Production,49.017144335000005
1,1.A.1.a,AFG,Afghanistan,Main Activity Electricity and Heat Production,313.067481057
2,1.A.1.a,AGO,Angola,Main Activity Electricity and Heat Production,399.822184
3,1.A.1.a,AIA,Anguilla,Main Activity Electricity and Heat Production,0.455850741
4,1.A.1.a,ALB,Albania,Main Activity Electricity and Heat Production,819.6277058
5,1.A.1.a,ANT,Netherlands Antilles,Main Activity Electricity and Heat Production,675.1913922
6,1.A.1.a,ARE,United Arab Emirates,Main Activity Electricity and Heat Production,4714.67823
7,1.A.1.a,ARG,Argentina,Main Activity Electricity and Heat Production,19007.888059999997
8,1.A.1.a,ARM,Armenia,Main Activity Electricity and Heat Production,4375.6233
9,1.A.1.a,ATG,Antigua and Barbuda,Main Activity Electricity and Heat Production,201.7661894
10,1.A.1.a,AUS,Australia,Main Activity Electricity and Heat Production,89595.19294
11,1.A.1.a,AUT,Austria,Main Activity Electricity and Heat Production,9684.213095
12,1.A.1.a,AZE,Azerbaijan,Main Activity Electricity and Heat Production,11667.4593
13,1.A.1.a,BDI,Burundi,Main Activity Electricity and Heat Production,10.47113157
14,1.A.1.a,BEL,Belgium,Main Activity Electricity and Heat Production,35071.852530000004
15,1.A.1.a,BEN,Benin,Main Activity Electricity and Heat Production,15.94569453
16,1.A.1.a,BFA,Burkina Faso,Main Activity Electricity and Heat Production,44.87627823
17,1.A.1.a,BGD,Bangladesh,Main Activity Electricity and Heat Production,1548.993611
18,1.A.1.a,BGR,Bulgaria,Main Activity Electricity and Heat Production,36769.84447
19,1.A.1.a,BHR,Bahrain,Main Activity Electricity and Heat Production,2012.480972
20,1.A.1.a,BHS,Bahamas,Main Activity Electricity and Heat Production,2018.071837182
21,1.A.1.a,BIH,Bosnia and Herzegovina,Main Activity Electricity and Heat Production,6353.901272
22,1.A.1.a,BLR,Belarus,Main Activity Electricity and Heat Production,42600.0488
23,1.A.1.a,BLZ,Belize,Main Activity Electricity and Heat Production,116.418642974
24,1.A.1.a,BMU,Bermuda,Main Activity Electricity and Heat Production,273.8255428
25,1.A.1.a,BOL,Bolivia,Main Activity Electricity and Heat Production,478.95955390000006
26,1.A.1.a,BRA,Brazil,Main Activity Electricity and Heat Production,10470.769808000001
27,1.A.1.a,BRB,Barbados,Main Activity Electricity and Heat Production,482.879809853
28,1.A.1.a,BRN,Brunei Darussalam,Main Activity Electricity and Heat Production,318.3167248
29,1.A.1.a,BTN,Bhutan,Main Activity Electricity and Heat Production,4.929102782
30,1.A.1.a,BWA,Botswana,Main Activity Electricity and Heat Production,628.9252265
31,1.A.1.a,CAF,Central African Republic,Main Activity Electricity and Heat Production,14.95875941
32,1.A.1.a,CAN,Canada,Main Activity Electricity and Heat Production,75714.59635
33,1.A.1.a,CHE,Switzerland,Main Activity Electricity and Heat Production,1320.79284
34,1.A.1.a,CHL,Chile,Main Activity Electricity and Heat Production,4001.27717
35,1.A.1.a,CHN,China,Main Activity Electricity and Heat Production,310084.9384
36,1.A.1.a,CIV,Cote d'Ivoire,Main Activity Electricity and Heat Production,397.0988747
37,1.A.1.a,CMR,Cameroon,Main Activity Electricity and Heat Production,73.79630856
38,1.A.1.a,COD,Congo_the Democratic Republic of the,Main Activity Electricity and Heat Production,143.4133493
39,1.A.1.a,COG,Congo,Main Activity Electricity and Heat Production,77.00482374
40,1.A.1.a,COK,Cook Islands,Main Activity Electricity and Heat Production,8.921486605
41,1.A.1.a,COL,Colombia,Main Activity Electricity and Heat Production,5141.7896820000005
42,1.A.1.a,COM,Comoros,Main Activity Electricity and Heat Production,4.487627824
43,1.A.1.a,CPV,Cape Verde,Main Activity Electricity and Heat Production,31.41339477
44,1.A.1.a,CRI,Costa Rica,Main Activity Electricity and Heat Production,91.11951665000001
45,1.A.1.a,CUB,Cuba,Main Activity Electricity and Heat Production,10325.312324999999
46,1.A.1.a,CYM,Cayman Islands,Main Activity Electricity and Heat Production,50.44154736
47,1.A.1.a,CYP,Cyprus,Main Activity Electricity and Heat Production,959.7599613
48,1.A.1.a,CZE,Czech Republic,Main Activity Electricity and Heat Production,52845.71658
49,1.A.1.a,DEU,Germany,Main Activity Electricity and Heat Production,416519.43204
50,1.A.1.a,DJI,Djibouti,Main Activity Electricity and Heat Production,149.5875941
51,1.A.1.a,DMA,Dominica,Main Activity Electricity and Heat Production,14.55581519
52,1.A.1.a,DNK,Denmark,Main Activity Electricity and Heat Production,27088.860811000002
53,1.A.1.a,DOM,Dominican Republic,Main Activity Electricity and Heat Production,3257.519553
54,1.A.1.a,DZA,Algeria,Main Activity Electricity and Heat Production,5124.959499
55,1.A.1.a,ECU,Ecuador,Main Activity Electricity and Heat Production,2258.405453
56,1.A.1.a,EGY,Egypt,Main Activity Electricity and Heat Production,7981.091342
57,1.A.1.a,ERI,Eritrea,Main Activity Electricity and Heat Production,145.2713561
58,1.A.1.a,ESH,Western Sahara,Main Activity Electricity and Heat Production,14.84970763
59,1.A.1.a,ESP,Spain,Main Activity Electricity and Heat Production,62718.850249999996
60,1.A.1.a,EST,Estonia,Main Activity Electricity and Heat Production,23690.6473
61,1.A.1.a,ETH,Ethiopia,Main Activity Electricity and Heat Production,47.44015313
62,1.A.1.a,FIN,Finland,Main Activity Electricity and Heat Production,19652.70138
63,1.A.1.a,FJI,Fiji,Main Activity Electricity and Heat Production,316.739566087
64,1.A.1.a,FLK,Falkland Islands (Malvinas),Main Activity Electricity and Heat Production,5.773879927
65,1.A.1.a,FRA,France,Main Activity Electricity and Heat Production,115255.129337
66,1.A.1.a,GAB,Gabon,Main Activity Electricity and Heat Production,121.9241252
67,1.A.1.a,GBR,United Kingdom,Main Activity Electricity and Heat Production,234421.2025
68,1.A.1.a,GEO,Georgia,Main Activity Electricity and Heat Production,12402.5256
69,1.A.1.a,GHA,Ghana,Main Activity Electricity and Heat Production,32.08521849
70,1.A.1.a,GIB,Gibraltar,Main Activity Electricity and Heat Production,52.93524039
71,1.A.1.a,GIN,Guinea,Main Activity Electricity and Heat Production,83.76905273
72,1.A.1.a,GLP,Guadeloupe,Main Activity Electricity and Heat Production,252.42109330099998
73,1.A.1.a,GMB,Gambia,Main Activity Electricity and Heat Production,16.45463537
74,1.A.1.a,GNB,Guinea-Bissau,Main Activity Electricity and Heat Production,8.975255648
75,1.A.1.a,GNQ,Equatorial Guinea,Main Activity Electricity and Heat Production,16.04260554
76,1.A.1.a,GRC,Greece,Main Activity Electricity and Heat Production,17993.51242
77,1.A.1.a,GRD,Grenada,Main Activity Electricity and Heat Production,21.61780594
78,1.A.1.a,GTM,Guatemala,Main Activity Electricity and Heat Production,1661.517736
79,1.A.1.a,GUF,French Guiana,Main Activity Electricity and Heat Production,180.497847226
80,1.A.1.a,GUY,Guyana,Main Activity Electricity and Heat Production,817.0421356
81,1.A.1.a,HKG,Hong Kong,Main Activity Electricity and Heat Production,9026.500646
82,1.A.1.a,HND,Honduras,Main Activity Electricity and Heat Production,155.9563739
83,1.A.1.a,HRV,Croatia,Main Activity Electricity and Heat Production,3517.490875
84,1.A.1.a,HTI,Haiti,Main Activity Electricity and Heat Production,74.79978404
85,1.A.1.a,HUN,Hungary,Main Activity Electricity and Heat Production,32525.78928
86,1.A.1.a,IDN,Indonesia,Main Activity Electricity and Heat Production,6848.820356
87,1.A.1.a,IND,India,Main Activity Electricity and Heat Production,72931.19542
88,1.A.1.a,IRL,Ireland,Main Activity Electricity and Heat Production,8117.434105
89,1.A.1.a,IRN,Iran. Islamic Republic of,Main Activity Electricity and Heat Production,13627.58596
90,1.A.1.a,IRQ,Iraq,Main Activity Electricity and Heat Production,6823.402024
91,1.A.1.a,ISL,Iceland,Main Activity Electricity and Heat Production,31.56648885
92,1.A.1.a,ISR,Israel,Main Activity Electricity and Heat Production,9257.728218
93,1.A.1.a,ITA,Italy,Main Activity Electricity and Heat Production,98554.91004999999
94,1.A.1.a,JAM,Jamaica,Main Activity Electricity and Heat Production,1381.602264
95,1.A.1.a,JOR,Jordan,Main Activity Electricity and Heat Production,1037.166944
96,1.A.1.a,JPN,Japan,Main Activity Electricity and Heat Production,303556.4987
97,1.A.1.a,KAZ,Kazakhstan,Main Activity Electricity and Heat Production,60794.9382
98,1.A.1.a,KEN,Kenya,Main Activity Electricity and Heat Production,639.2889712
99,1.A.1.a,KGZ,Kyrgyzstan,Main Activity Electricity and Heat Production,1565.5728
100,1.A.1.a,KHM,Cambodia,Main Activity Electricity and Heat Production,97.72843778
101,1.A.1.a,KIR,Kiribati,Main Activity Electricity and Heat Production,8.923311782
102,1.A.1.a,KNA,Saint Kitts and Nevis,Main Activity Electricity and Heat Production,28.82374135
103,1.A.1.a,KOR,Korea. Republic of,Main Activity Electricity and Heat Production,25527.92899
104,1.A.1.a,KWT,Kuwait,Main Activity Electricity and Heat Production,8666.181356
105,1.A.1.a,LAO,Lao People's Democratic Republic,Main Activity Electricity and Heat Production,139.837930263
106,1.A.1.a,LBN,Lebanon,Main Activity Electricity and Heat Production,2915.456783
107,1.A.1.a,LBR,Liberia,Main Activity Electricity and Heat Production,194.4638724
108,1.A.1.a,LBY,Libyan Arab Jamahiriya,Main Activity Electricity and Heat Production,5507.257924
