,ipcc_code_2006_for_standard_report,Country_code_A3,Name,ipcc_code_2006_for_standard_report_name,Y_2000
0,1.A.1.a,ABW,Aruba,Main Activity Electricity and Heat Production,417.493108823
1,1.A.1.a,AFG,Afghanistan,Main Activity Electricity and Heat Production,389.9808286
2,1.A.1.a,AGO,Angola,Main Activity Electricity and Heat Production,728.5482618
3,1.A.1.a,AIA,Anguilla,Main Activity Electricity and Heat Production,0.648089832
4,1.A.1.a,ALB,Albania,Main Activity Electricity and Heat Production,284.461123
5,1.A.1.a,ANT,Netherlands Antilles,Main Activity Electricity and Heat Production,802.761809
6,1.A.1.a,ARE,United Arab Emirates,Main Activity Electricity and Heat Production,29257.269
7,1.A.1.a,ARG,Argentina,Main Activity Electricity and Heat Production,29817.38858
8,1.A.1.a,ARM,Armenia,Main Activity Electricity and Heat Production,1600.987388
9,1.A.1.a,ATG,Antigua and Barbuda,Main Activity Electricity and Heat Production,226.7771976
10,1.A.1.a,AUS,Australia,Main Activity Electricity and Heat Production,181514.72799400002
11,1.A.1.a,AUT,Austria,Main Activity Electricity and Heat Production,15705.971936000002
12,1.A.1.a,AZE,Azerbaijan,Main Activity Electricity and Heat Production,15325.64386
13,1.A.1.a,BDI,Burundi,Main Activity Electricity and Heat Production,135.43857894
14,1.A.1.a,BEL,Belgium,Main Activity Electricity and Heat Production,26799.1609737
15,1.A.1.a,BEN,Benin,Main Activity Electricity and Heat Production,51.04528077
16,1.A.1.a,BFA,Burkina Faso,Main Activity Electricity and Heat Production,282.8369765
17,1.A.1.a,BGD,Bangladesh,Main Activity Electricity and Heat Production,8810.262997
18,1.A.1.a,BGR,Bulgaria,Main Activity Electricity and Heat Production,24081.66978
19,1.A.1.a,BHR,Bahrain,Main Activity Electricity and Heat Production,11364.33971
20,1.A.1.a,BHS,Bahamas,Main Activity Electricity and Heat Production,1474.33114968
21,1.A.1.a,BIH,Bosnia and Herzegovina,Main Activity Electricity and Heat Production,8860.439692
22,1.A.1.a,BLR,Belarus,Main Activity Electricity and Heat Production,32771.11279
23,1.A.1.a,BLZ,Belize,Main Activity Electricity and Heat Production,334.9801249
24,1.A.1.a,BMU,Bermuda,Main Activity Electricity and Heat Production,247.9049549
25,1.A.1.a,BOL,Bolivia,Main Activity Electricity and Heat Production,1342.069891
26,1.A.1.a,BRA,Brazil,Main Activity Electricity and Heat Production,38036.98086
27,1.A.1.a,BRB,Barbados,Main Activity Electricity and Heat Production,688.188910652
28,1.A.1.a,BRN,Brunei Darussalam,Main Activity Electricity and Heat Production,2032.461803
29,1.A.1.a,BTN,Bhutan,Main Activity Electricity and Heat Production,86.39697899
30,1.A.1.a,BWA,Botswana,Main Activity Electricity and Heat Production,1660.476405
31,1.A.1.a,CAF,Central African Republic,Main Activity Electricity and Heat Production,81.91643135
32,1.A.1.a,CAN,Canada,Main Activity Electricity and Heat Production,143346.36504
33,1.A.1.a,CHE,Switzerland,Main Activity Electricity and Heat Production,4296.693771
34,1.A.1.a,CHL,Chile,Main Activity Electricity and Heat Production,15105.4959
35,1.A.1.a,CHN,China,Main Activity Electricity and Heat Production,1432373.79683
36,1.A.1.a,CIV,Cote d'Ivoire,Main Activity Electricity and Heat Production,1831.134417
37,1.A.1.a,CMR,Cameroon,Main Activity Electricity and Heat Production,35.29373367
38,1.A.1.a,COD,Congo_the Democratic Republic of the,Main Activity Electricity and Heat Production,3.20852259
39,1.A.1.a,COK,Cook Islands,Main Activity Electricity and Heat Production,25.11878151
40,1.A.1.a,COL,Colombia,Main Activity Electricity and Heat Production,7586.514378
41,1.A.1.a,COM,Comoros,Main Activity Electricity and Heat Production,22.292872607000003
42,1.A.1.a,CPV,Cape Verde,Main Activity Electricity and Heat Production,63.380278017
43,1.A.1.a,CRI,Costa Rica,Main Activity Electricity and Heat Production,82.55903696
44,1.A.1.a,CUB,Cuba,Main Activity Electricity and Heat Production,12458.0616
45,1.A.1.a,CYM,Cayman Islands,Main Activity Electricity and Heat Production,221.7258472
46,1.A.1.a,CYP,Cyprus,Main Activity Electricity and Heat Production,2881.197081
47,1.A.1.a,CZE,Czech Republic,Main Activity Electricity and Heat Production,68057.660389
48,1.A.1.a,DEU,Germany,Main Activity Electricity and Heat Production,340587.841116
49,1.A.1.a,DJI,Djibouti,Main Activity Electricity and Heat Production,164.927988031
50,1.A.1.a,DMA,Dominica,Main Activity Electricity and Heat Production,82.613149409
51,1.A.1.a,DNK,Denmark,Main Activity Electricity and Heat Production,27351.474743
52,1.A.1.a,DOM,Dominican Republic,Main Activity Electricity and Heat Production,9468.483746
53,1.A.1.a,DZA,Algeria,Main Activity Electricity and Heat Production,15836.69575
54,1.A.1.a,ECU,Ecuador,Main Activity Electricity and Heat Production,2298.821064
55,1.A.1.a,EGY,Egypt,Main Activity Electricity and Heat Production,27082.98574
56,1.A.1.a,ERI,Eritrea,Main Activity Electricity and Heat Production,282.938808
57,1.A.1.a,ESH,Western Sahara,Main Activity Electricity and Heat Production,45.71394086
58,1.A.1.a,ESP,Spain,Main Activity Electricity and Heat Production,99352.90071
59,1.A.1.a,EST,Estonia,Main Activity Electricity and Heat Production,11641.057224499998
60,1.A.1.a,ETH,Ethiopia,Main Activity Electricity and Heat Production,19.25112813
61,1.A.1.a,FIN,Finland,Main Activity Electricity and Heat Production,30949.920836999998
