,Country_code_A3,Country_code_A3_birank
0,ABW,3.744046627717873e-05
1,AFG,0.00022337614105887886
2,AGO,0.0005815805716444584
3,AIA,3.2922273383872725e-07
4,AIR,0.0006523210282703871
5,ALB,6.479941814703727e-05
6,ANT,4.606304083729132e-05
7,ARE,0.0051898330305136355
8,ARG,0.003941862341733084
9,ARM,0.0001125594251341153
10,ATG,2.2599721265229903e-05
11,AUS,0.011370473721452803
12,AUT,0.0018138940036818755
13,AZE,0.0007935285134749503
14,BDI,0.0001050648121924666
15,BEL,0.002007193306304616
16,BEN,0.00017667353453947206
17,BFA,0.00030337653374209886
18,BGD,0.0030871867260508323
19,BGR,0.0013559153155348917
20,BHR,0.0011409437264439785
21,BHS,0.00012264753377202986
22,BIH,0.0007537159984221277
23,BLR,0.0018180286378251139
24,BLZ,5.3493648791893674e-05
25,BMU,2.3800723594909755e-05
26,BOL,0.0005066727007667153
27,BRA,0.01824366544900203
28,BRB,5.330641948673718e-05
29,BRN,0.00018062883557359911
30,BTN,8.53189891939144e-05
31,BWA,0.00024032909196101005
32,CAF,3.639257772209535e-05
33,CAN,0.010033281330991952
34,CHE,0.0007097731825856203
35,CHL,0.00360088192418136
36,CHN,0.3331671247288819
37,CIV,0.00044136355093136255
38,CMR,0.00040528078068886777
39,COD,0.0007848081135622396
40,COG,0.00016844811012793368
41,COK,2.101116234703524e-06
42,COL,0.0021866080402527396
43,COM,1.0870199136376523e-05
44,CPV,1.877617156726842e-05
45,CRI,0.00023083366975125674
46,CUB,0.0012035340141517267
47,CYM,2.504046803290613e-05
48,CYP,0.00019396606388654482
49,CZE,0.003127319605476886
50,DEU,0.018303507724225596
51,DJI,1.7410802592025423e-05
52,DMA,6.602818270759423e-06
53,DNK,0.0010798476492440482
54,DOM,0.0008375850496714267
55,DZA,0.002903572287148867
56,ECU,0.0006484027138847517
57,EGY,0.006429015313724709
58,ERI,4.227155845791351e-05
59,ESH,4.176616271866626e-06
60,ESP,0.005212243700914972
61,EST,0.0004721023792027839
62,ETH,0.0018875694296019965
63,FIN,0.002562020522141198
64,FJI,6.892083392813325e-05
65,FLK,1.5716652582693161e-06
66,FRA,0.005893468655456624
67,FRO,1.5618643599711993e-10
68,GAB,0.000382474583420232
69,GBR,0.007679378085147999
70,GEO,0.00017494792899176148
71,GHA,0.0005655820007759437
72,GIB,1.223757734428705e-05
73,GIN,0.00024350815210999314
74,GLP,5.583963282517712e-05
