,weight_deg
CYM,82.88136505629998
BEN,4318.786818627001
MRT,1280.0684821619
ERI,2106.258533311
RWA,4757.05218583866
UGA,20971.194414542893
GIN,9982.374415294202
VUT,94.17095654419899
MLI,3623.6426211522994
VGB,32.4666823218
ESH,86.844045995
CAF,2221.03983687078
MDV,15.186517662774799
TGO,2227.014040769
SWZ,4076.0115363215996
SHN,2.762886881
BDI,4385.562636499151
SEN,4073.1382218880003
SPM,121.444711809
PAN,4905.3447991289995
HND,7784.494465082001
SOM,5032.349725084001
BTN,1170.1355623501547
AIA,2.1682917049999997
SYC,135.75232823517
GRL,2.380853438
SGP,6651.434235746
KHM,15998.831090505724
GMB,426.83020538166005
WSM,110.571074124424
NPL,18912.123268858
GUY,5579.550368967
GLP,1392.492294376
NER,3552.8898583170003
AIR,169300.9966
BMU,427.056130639
REU,2506.8154184518007
GRD,47.029210485700006
COM,112.59956856263
SLB,99.964673660424
TON,22.6797021385497
MWI,6917.0984554233
MNG,6047.5257776219805
DJI,920.3288158538
PRI,2155.9332432740002
AFG,3343.0547089580004
TZA,17868.362119940997
MOZ,24200.03598979099
KNA,351.67932341159997
CMR,11614.401432299
ATG,322.244337996
NAM,1561.6069515468
PYF,147.730795342622
TLS,133.795623611
GUF,448.26883086600003
TCA,17.00379523351
SUR,2402.2359951890003
NCL,1053.75045605948
FRO,0.800204914
VCT,153.99841999970002
LBR,3033.7207906261
JAM,11662.982460285
KWT,38382.164654661006
GIB,69.424257014
LAO,5042.526834801241
AGO,20393.27406728
LSO,2721.84936008078
SYR,6969.1931896000015
OMN,7331.177555388001
STP,74.76751292876
IRQ,24154.889334803996
BHS,3778.6030984069994
BOL,6807.0070399940005
GNB,1069.05234207427
SLE,6454.027720598901
COK,20.278298790549698
PNG,3043.8161654800006
BHR,2962.38564837
COG,2926.8651471219996
LCA,167.7436699342
DMA,132.3157766128
CIV,7713.156989248001
GAB,2861.478913181
LKA,15022.616488276997
KIR,22.308657812549697
SAU,47222.235553
BRN,2126.2456534919997
MTQ,853.8597103559999
MLT,713.285068582
QAT,14732.839678031
FLK,20.54137700172
PLW,1993.8769189719999
ARE,19437.564128776998
MAC,331.27441964479
GNQ,96.87119788400001
BLZ,1391.090848649
MDG,6383.0088697352
YEM,2279.0196752650004
BRB,1736.4475652529998
ANT,14518.577946497
BWA,947.246888374
TCD,4149.7082730316
FJI,4696.098641135012
CPV,277.1737091644
ABW,95.06542353110002
BFA,8158.1069861483
