,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_birank
0,1.A.1.a,0.22305584225787325
1,1.A.1.bc,0.04841845895619735
2,1.A.2,0.2526403834713055
3,1.A.3.a,0.019512245848331437
4,1.A.3.b_noRES,0.12902530053591355
5,1.A.3.c,0.011664917624438028
6,1.A.3.d,0.003805772964724264
7,1.A.3.e,0.0068266892602519905
8,1.A.4,0.2115363450397086
9,1.A.5,0.015102853039518731
10,1.B.1,0.012128413447990611
11,1.B.2,0.003624217548247493
12,2.A.1,0.00942286539729078
13,2.A.2,0.004974439746031928
14,2.A.3,0.0002864082130481873
15,2.A.4,0.003478558668947349
16,2.B,0.007034774758829531
17,2.C,0.007473141246083581
18,2.D,0.018159004609813387
19,3.C.1,0.007179816359028049
20,3.C.2,0.0016537815458788467
21,3.C.3,0.00022605265249641163
22,4.C,0.00032683801914915067
23,5.B,0.0024428787889020117
