Country,nx_lapl_centr_country
CYM,2.9772203461319965e-06
BEN,0.0001718823326716074
BIH,0.0010012613715808596
ERI,0.00012524734197031365
SDN,0.0015522501116500356
UGA,0.0016154382170403443
GIN,0.0007575420680185164
MLI,0.00024728006207132476
GRC,0.0018035124062682085
VGB,1.3177785193444108e-06
SHN,1.6260701699585494e-07
BDI,0.0003412629220307011
HUN,0.004263433802474175
JOR,8.170483712389301e-05
PAN,0.00029463663294141903
SPM,4.711010711349877e-06
BTN,8.833585046243503e-05
SOM,0.0003614308682132458
SCG,0.001851477788222116
CUB,0.007529733828384978
GRL,8.696396304796987e-09
KHM,0.0004709290794056128
COD,0.0020328770777830953
FRA,0.03529913067335396
NPL,0.00141558281472309
CRI,0.0003345344725633612
GLP,7.430799579570038e-05
NER,0.00023228917675205835
BMU,1.5832417187855815e-05
AZE,0.002404317223507451
GRD,1.7481838181054721e-06
COM,6.814969985078011e-06
ARM,0.0007693123144579893
REU,0.00018767981727278496
UKR,0.031006198870108314
TON,5.34552139019552e-07
MWI,0.0005292208888126831
ZMB,0.000824229168530794
CHN,0.14658572434220443
TUN,0.0003563680890013514
CZE,0.01230800392288283
VEN,0.0026133438178318797
MOZ,0.001867201581684244
KNA,2.396091494368966e-05
DOM,0.0010645012342189797
PYF,3.3267107985721892e-06
ESP,0.008859599763824744
GHA,0.000700035741221978
KWT,0.000744093084671136
VCT,1.0812667910911588e-05
FRO,3.006874452336734e-10
PRK,0.004989767235659862
GIB,3.3704025756476525e-06
PRT,0.0014135334157037197
TKM,0.0004998496882961624
AGO,0.0009594362308025838
LSO,0.00019343032301759035
SYR,0.0003543229276153668
IRQ,0.0007154499756817338
STP,5.1504934593700324e-06
JPN,0.05937074835893253
BHS,0.0001403087265718886
KAZ,0.010382878589827085
GNB,7.972631579544165e-05
NOR,0.0013897592483534482
LVA,0.001260618976828424
COG,0.00011944465260558417
MKD,0.00030841689216686555
CIV,0.000500966967778611
GAB,0.00022493374338599604
MYS,0.0012736732872612865
KGZ,0.0008665244450384354
BRN,3.5184521362249895e-05
EGY,0.002273595402762139
ROU,0.008139333687234698
MLT,3.841379213807689e-05
KOR,0.0037468111189658143
